H2+        e-                     H          H                                             1.590e-08 -1.184e+00  7.125e+00 1.50e+00 0.00e+00 logn  8     10   1000  3    34 2  2
H2+        e-                     H2         Photon                                        0.000e+00  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  8     10    280  3    35 1  1
H2+        e-                     H2         Photon                                        0.000e+00  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  8     10   1000  3    35 2  2
HeH+       e-                     H          He                                            3.000e-08 -5.000e-01  0.000e+00 1.25e+00 0.00e+00 logn  8     10    280  3    36 1  1
HeH+       e-                     H          He                                            1.160e-08 -9.080e-01  2.670e+02 2.00e+00 0.00e+00 logn  8    100  20000  3    36 2  2
H+         e-                     H          Photon                                        3.500e-12 -7.000e-01  0.000e+00 2.00e+00 0.00e+00 logn  8     10    280  3    37 1  1
He+        e-                     He         Photon                                        4.500e-12 -6.700e-01  0.000e+00 2.00e+00 0.00e+00 logn  8     10    280  3    38 1  1
H2+(J=1)   e-                     H          H                                             1.240e-08  8.265e-02 -1.073e+00 1.50e+00 0.00e+00 logn  8      1     10  3    39 1  2
H2+(J=1)   e-                     H          H                                             4.550e-09 -5.012e-01  7.607e+00 1.50e+00 0.00e+00 logn  8     10    100  3    39 2  2
H2+(J=1)   e-                     H          H                                             8.250e-09 -1.522e-01  2.987e+01 1.50e+00 0.00e+00 logn  8    100   1000  3    39 3  2
H2+(J=2)   e-                     H          H                                             1.500e-09 -1.006e+00  4.452e-01 1.50e+00 0.00e+00 logn  8      1     76  3    40 1  2
H2+(J=2)   e-                     H          H                                             8.950e-09 -2.289e-01  4.169e+01 1.50e+00 0.00e+00 logn  8     76   1000  3    40 2  2
H2+(J=3)   e-                     H          H                                             7.460e-09 -7.520e-01  6.718e-01 1.50e+00 0.00e+00 logn  8      1    100  3    41 1  2
H2+(J=3)   e-                     H          H                                             1.280e-08 -4.374e-01  2.018e+01 1.50e+00 0.00e+00 logn  8    100   1000  3    41 2  2
H2+(J=4)   e-                     H          H                                             1.380e-08 -3.181e-01 -1.754e-01 1.50e+00 0.00e+00 logn  8      1   1000  3    42 1  2
H2+(J=5)   e-                     H          H                                             6.540e-08 -6.692e-02 -4.837e-01 1.50e+00 0.00e+00 logn  8      1     10  3    43 1  2
H2+(J=5)   e-                     H          H                                             1.430e-08 -7.514e-01  7.676e+00 1.50e+00 0.00e+00 logn  8     10    100  3    43 2  2
H2+(J=5)   e-                     H          H                                             1.500e-08 -5.726e-01 -7.201e+00 1.50e+00 0.00e+00 logn  8    100   1000  3    43 3  2
H2+(J=6)   e-                     H          H                                             1.700e-08 -3.495e-01 -2.257e-01 1.50e+00 0.00e+00 logn  8      1   1000  3    44 1  2
H2+(J=7)   e-                     H          H                                             1.060e-08 -7.864e-01  6.689e-01 1.50e+00 0.00e+00 logn  8      1    100  3    45 1  2
H2+(J=7)   e-                     H          H                                             1.280e-08 -4.840e-01 -1.298e+01 1.50e+00 0.00e+00 logn  8    100   1000  3    45 2  2
H2+(J=8)   e-                     H          H                                             1.830e-08 -2.836e-01 -3.137e-01 1.50e+00 0.00e+00 logn  8      1    100  3    46 1  2
H2+(J=8)   e-                     H          H                                             1.540e-08 -5.296e-01  1.631e+01 1.50e+00 0.00e+00 logn  8    100   1000  3    46 2  2
H2+(J=9)   e-                     H          H                                             2.110e-08 -3.532e-01 -1.560e-01 1.50e+00 0.00e+00 logn  8      1   1000  3    47 1  2
H2+(J=10)  e-                     H          H                                             6.760e-08 -4.114e-01  1.171e-01 1.50e+00 0.00e+00 logn  8      1     10  3    48 1  2
H2+(J=10)  e-                     H          H                                             1.850e-08 -7.996e-01  5.375e-01 1.50e+00 0.00e+00 logn  8     10    100  3    48 2  2
H2+(J=10)  e-                     H          H                                             2.640e-08 -7.347e-01  2.107e+01 1.50e+00 0.00e+00 logn  8    100   1000  3    48 3  2
