H           0.000e+00 0.00e+00  4.500e+02 0.00e+00 1      H2O 1
H           0.000e+00 0.00e+00  6.500e+02 1.95e+02 1      H2O 2
H           1.540e+11 0.00e+00  4.500e+02 0.00e+00 1 CompactA 2
H           1.150e+11 0.00e+00  3.510e+02 0.00e+00 1  Olivine 2
H           1.150e+11 0.00e+00  4.310e+02 0.00e+00 1 Graphite 2
He          0.000e+00 0.00e+00  1.000e+02 0.00e+00 1      H2O 1
H2          0.000e+00 0.00e+00  4.500e+02 0.00e+00 1      H2O 1
H2          0.000e+00 0.00e+00  4.400e+02 1.32e+02 1      H2O 2
H2          1.980e+11 0.00e+00  3.710e+02 0.00e+00 1 CompactA 2
H2          1.980e+11 0.00e+00  4.680e+02 0.00e+00 1 Silicate 2
